Reference, Value, Footprint, Datasheet, MFG Name, MFG Part Num, Distrib PN, Distrib Link, Tolerance, Others
R10,150Ω,Resistors_SMD:R_0805_HandSoldering,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Stackpole Electronics,RMCF0805JT150R,RMCF0805JT150RCT-ND,http://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT150R/RMCF0805JT150RCT-ND/1942541,5%,http://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=&pv16=6&FV=ffe00034%2C400bb&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=500
R11,150Ω,Resistors_SMD:R_0805_HandSoldering,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Stackpole Electronics,RMCF0805JT150R,RMCF0805JT150RCT-ND,http://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT150R/RMCF0805JT150RCT-ND/1942541,5%,http://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=&pv16=6&FV=ffe00034%2C400bb&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=500
R21,150Ω,Resistors_SMD:R_0805_HandSoldering,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Stackpole Electronics,RMCF0805JT150R,RMCF0805JT150RCT-ND,http://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT150R/RMCF0805JT150RCT-ND/1942541,5%,http://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=&pv16=6&FV=ffe00034%2C400bb&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=500
R22,150Ω,Resistors_SMD:R_0805_HandSoldering,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Stackpole Electronics,RMCF0805JT150R,RMCF0805JT150RCT-ND,http://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT150R/RMCF0805JT150RCT-ND/1942541,5%,http://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=&pv16=6&FV=ffe00034%2C400bb&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=500
R23,150Ω,Resistors_SMD:R_0805_HandSoldering,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Stackpole Electronics,RMCF0805JT150R,RMCF0805JT150RCT-ND,http://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT150R/RMCF0805JT150RCT-ND/1942541,5%,http://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=&pv16=6&FV=ffe00034%2C400bb&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=500
R24,150Ω,Resistors_SMD:R_0805_HandSoldering,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Stackpole Electronics,RMCF0805JT150R,RMCF0805JT150RCT-ND,http://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT150R/RMCF0805JT150RCT-ND/1942541,5%,http://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=&pv16=6&FV=ffe00034%2C400bb&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=500
R25,150Ω,Resistors_SMD:R_0805_HandSoldering,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Stackpole Electronics,RMCF0805JT150R,RMCF0805JT150RCT-ND,http://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT150R/RMCF0805JT150RCT-ND/1942541,5%,http://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=&pv16=6&FV=ffe00034%2C400bb&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=500
R26,150Ω,Resistors_SMD:R_0805_HandSoldering,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Stackpole Electronics,RMCF0805JT150R,RMCF0805JT150RCT-ND,http://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT150R/RMCF0805JT150RCT-ND/1942541,5%,http://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=&pv16=6&FV=ffe00034%2C400bb&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=500
R27,150Ω,Resistors_SMD:R_0805_HandSoldering,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Stackpole Electronics,RMCF0805JT150R,RMCF0805JT150RCT-ND,http://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT150R/RMCF0805JT150RCT-ND/1942541,5%,http://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=&pv16=6&FV=ffe00034%2C400bb&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=500
R14,150Ω,Resistors_SMD:R_0805_HandSoldering,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Stackpole Electronics,RMCF0805JT150R,RMCF0805JT150RCT-ND,http://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT150R/RMCF0805JT150RCT-ND/1942541,5%,http://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=&pv16=6&FV=ffe00034%2C400bb&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=500
R15,150Ω,Resistors_SMD:R_0805_HandSoldering,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Stackpole Electronics,RMCF0805JT150R,RMCF0805JT150RCT-ND,http://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT150R/RMCF0805JT150RCT-ND/1942541,5%,http://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=&pv16=6&FV=ffe00034%2C400bb&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=500
R16,150Ω,Resistors_SMD:R_0805_HandSoldering,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Stackpole Electronics,RMCF0805JT150R,RMCF0805JT150RCT-ND,http://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT150R/RMCF0805JT150RCT-ND/1942541,5%,http://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=&pv16=6&FV=ffe00034%2C400bb&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=500
R17,150Ω,Resistors_SMD:R_0805_HandSoldering,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Stackpole Electronics,RMCF0805JT150R,RMCF0805JT150RCT-ND,http://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT150R/RMCF0805JT150RCT-ND/1942541,5%,http://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=&pv16=6&FV=ffe00034%2C400bb&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=500
R18,150Ω,Resistors_SMD:R_0805_HandSoldering,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Stackpole Electronics,RMCF0805JT150R,RMCF0805JT150RCT-ND,http://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT150R/RMCF0805JT150RCT-ND/1942541,5%,http://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=&pv16=6&FV=ffe00034%2C400bb&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=500
R19,150Ω,Resistors_SMD:R_0805_HandSoldering,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Stackpole Electronics,RMCF0805JT150R,RMCF0805JT150RCT-ND,http://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT150R/RMCF0805JT150RCT-ND/1942541,5%,http://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=&pv16=6&FV=ffe00034%2C400bb&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=500
R20,150Ω,Resistors_SMD:R_0805_HandSoldering,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Stackpole Electronics,RMCF0805JT150R,RMCF0805JT150RCT-ND,http://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT150R/RMCF0805JT150RCT-ND/1942541,5%,http://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=&pv16=6&FV=ffe00034%2C400bb&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=500
R12,150Ω,Resistors_SMD:R_0805_HandSoldering,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Stackpole Electronics,RMCF0805JT150R,RMCF0805JT150RCT-ND,http://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT150R/RMCF0805JT150RCT-ND/1942541,5%,http://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=&pv16=6&FV=ffe00034%2C400bb&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=500
R13,150Ω,Resistors_SMD:R_0805_HandSoldering,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Stackpole Electronics,RMCF0805JT150R,RMCF0805JT150RCT-ND,http://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT150R/RMCF0805JT150RCT-ND/1942541,5%,http://www.digikey.com/products/en/resistors/chip-resistor-surface-mount/52?k=&pkeyword=&pv16=6&FV=ffe00034%2C400bb&mnonly=0&newproducts=0&ColumnSort=0&page=1&quantity=0&ptm=0&fid=0&pageSize=500
